Year,Month,GEPU_current,GEPU_ppp
2011,6,123.812184544727,122.685067013885
2011,7,152.195735205208,149.394984779193
2011,8,214.011817784583,211.732791314351
2011,9,193.217830518129,192.458123916293
2011,10,165.242794551844,169.172568120145
2011,11,190.733033534709,192.923993057576
2011,12,176.208647335259,181.411465726066
2012,1,153.495953440358,155.994896966981
2012,2,139.788238218001,144.413076504617
2012,3,131.08456754817,141.666152710534
2012,4,128.07259689924,132.242130481138
2012,5,157.803167270248,161.67309014357
2012,6,181.53905197598,184.354277564037
2012,7,149.934943739187,149.468674051488
2012,8,116.21894735465,116.995112633112
2012,9,151.65237647468,152.80979181312
2012,10,149.520971084528,148.941668102716
2012,11,163.284530986615,157.599906105445
2012,12,168.240526799015,166.217810428812
2013,1,165.060015230408,162.787049059771
2013,2,121.174915444295,120.961597247412
2013,3,143.071104612418,142.110520142186
2013,4,134.105672383674,135.849426197238
2013,5,106.235333488291,105.683912711983
2013,6,126.163104073456,127.241017996567
2013,7,107.368130396701,107.192344531273
2013,8,118.335145174805,124.026861339653
2013,9,136.956604172915,138.387886131918
2013,10,166.516901507248,163.744781926103
2013,11,102.386301269491,104.762772896792
2013,12,120.235880701621,123.102987362509
2014,1,113.734455669588,116.583806011232
2014,2,99.611606288327,98.4225659393474
2014,3,112.367842243405,110.563970449355
2014,4,108.530451435937,113.688327237072
2014,5,105.364191346987,108.19015740975
2014,6,90.1128747621402,93.4397670237166
2014,7,92.6694784779138,96.3646099244214
2014,8,96.1496246107166,102.688028669322
2014,9,119.567613144331,124.259839837665
2014,10,111.008634184874,111.760348894687
2014,11,117.265260269603,123.913034838278
2014,12,109.400016823128,111.548787745419
2015,1,126.991469584131,131.853218605185
2015,2,113.953152938798,119.807233270544
2015,3,109.946211822817,113.928076619075
2015,4,99.3901285767518,97.9650200254693
2015,5,102.930937340861,99.3708571873976
2015,6,117.84478764026,116.343810555727
2015,7,121.866110578633,119.860080386821
2015,8,118.513451397597,115.287882764051
2015,9,151.975894976969,151.049247852745
2015,10,114.318263935914,112.680097385985
2015,11,103.35634700694,102.628717190039
2015,12,110.794803787437,113.71753419236
2016,1,143.25869507491,138.120339903338
2016,2,145.445867902638,142.293795226873
2016,3,156.87798869008,157.631316873617
2016,4,140.104646137866,141.768241767298
2016,5,123.378987339943,119.267709706723
2016,6,227.871561711938,216.122806189094
2016,7,202.245585191248,184.955403632174
2016,8,132.668946889675,132.741458319484
2016,9,134.349333141845,135.847210083297
2016,10,125.003714446858,119.891166274781
2016,11,226.279887407649,210.848554173496
2016,12,183.765426620881,184.05041324178
2017,1,246.662727026049,252.398060634802
2017,2,184.979404805132,187.138727593289
2017,3,233.120323716625,243.509844816938
2017,4,174.337238977714,173.027053396719
2017,5,142.50647261577,139.114591040414
2017,6,169.719264279922,171.084144619987
2017,7,163.0248778605,167.173719972876
2017,8,139.145189854636,138.8155902085
2017,9,155.776595287537,159.000309824047
2017,10,143.306916329635,146.981310189776
2017,11,158.270102465898,163.960184554047
2017,12,146.381935400048,151.548800136647
2018,1,175.202106027918,174.992820750325
2018,2,124.854900280021,127.800882216367
2018,3,179.438300021771,176.209218695173
2018,4,163.520232525187,169.506914107472
2018,5,170.195667595635,169.224345933254
2018,6,163.377413639533,160.22399319739
2018,7,225.211224103614,231.613943014036
2018,8,170.79926314398,178.517814425495
2018,9,191.352205560252,200.886898352145
2018,10,211.929085118699,221.158961157669
2018,11,245.658912088368,260.247631854144
2018,12,217.810727976404,212.676799782994
2019,1,241.43860544587,238.209064436051
2019,2,172.617705346076,175.173169776209
2019,3,238.141036655995,245.932681418725
2019,4,189.14538547176,200.206123074275
2019,5,221.065895620614,232.594464583136
2019,6,317.283863211256,340.73814018723
2019,7,247.12883235987,253.995935043509
2019,8,288.150815578135,286.391747053289
2019,9,235.791966410523,246.373656136543
2019,10,200.755683019793,205.918997568589
2019,11,240.623155590568,253.897408765542
2019,12,230.805457061057,241.258848941958
2020,1,190.61937764179,196.144756809839
2020,2,194.830046554026,194.072223159532
2020,3,314.868122728456,305.980776601405
2020,4,325.601022531846,328.82458181549
2020,5,410.426214250071,412.210130226345
2020,6,306.663360788621,317.557039102425
2020,7,309.185990733403,299.051383793268
2020,8,285.987850130655,295.171870148669
2020,9,305.589211833198,318.430343606243
2020,10,302.8122753052,304.763374185833
2020,11,392.414506904478,408.416824780297
2020,12,299.135434028655,305.841715521689
2021,1,269.375413044619,277.352598600791
2021,2,193.157420717871,196.996768291605
2021,3,209.91187516623,216.629715000961
2021,4,192.2340414131,201.066332352422
2021,5,171.863944722072,176.71394861459
2021,6,169.305303385319,178.524624395575
2021,7,187.288970459617,185.824977835783
2021,8,198.815312619605,203.118030826038
2021,9,209.548357834327,214.67550973196
2021,10,185.598553926868,190.563602259038
2021,11,227.08432787018,228.073827094864
2021,12,255.069338001237,259.633681171997
2022,1,219.486110960313,227.186457396575
2022,2,174.484554340896,186.114444010193
2022,3,294.510923118177,298.174825293435
2022,4,266.920362618681,286.225707150502
2022,5,272.132914543853,282.193049833636
2022,6,244.53692430034,259.575406513381
2022,7,289.18853289114,297.90440343953
2022,8,233.456083272348,236.92628377098
2022,9,246.681960082087,250.968223636594
2022,10,262.278751874149,264.707288999648
2022,11,307.125400125669,318.583412034259
2022,12,237.003193611618,250.582531901701
2023,1,215.981239274285,224.937820488263
2023,2,238.725736132714,255.912739007424
2023,3,309.745178833857,328.571664883375
2023,4,252.875811414803,278.704716563858
2023,5,208.448073534334,207.183553060863
2023,6,219.521014427581,234.006031809935
2023,7,189.497111831159,198.339374723683
2023,8,173.037776895618,183.229715223669
2023,9,198.007990700442,207.79838513413
2023,10,188.224434080694,196.390906663706
2023,11,205.660016148033,217.317173096263
2023,12,219.864537093897,244.708714006885
2024,1,236.313409228726,256.674169174581
2024,2,165.132005473475,178.010552620817
2024,3,176.315615846419,183.484249132933
2024,4,168.595434059326,173.68634970634
2024,5,180.934060454147,185.516685813891
2024,6,171.620418440803,173.409784297379
2024,7,223.913464423367,237.217236466633
2024,8,189.062878692349,198.565254629123
2024,9,199.993143738465,207.447461289646
2024,10,202.374341256596,210.092485747817
2024,11,279.140365885094,275.942052829946
2024,12,323.007047396169,327.923291108347
2025,1,306.73629165479,304.562790839686
2025,2,329.090731021514,320.347280990876
2025,3,469.970603749057,457.591603939346
2025,4,621.412416893627,575.799354960561
2025,5,506.03074253622,471.634041096287
2025,6,365.757769942443,352.956748964504
2025,7,401.540709045132,382.141573445843
2025,8,338.626322586721,320.822199741126
2025,9,305.066835486829,290.693574969899
2025,10,397.845747916422,410.635593637116
2025,11,365.225064169846,369.862697149717
2025,12,332.576942665627,346.642588684446
2026,1,375.69576890694,368.855007535247
2026,2,350.959516881449,358.652828503655
2026,3,446.036868899645,464.466417038655
2026,4,342.222608816366,345.998970872439
2026,5,321.314493605154,318.139879773252
2026,6,278.230131566573,285.256879521927
,,,
"Citation: Davis, Steven J., 2016. “An Index of Global Economic Policy Uncertainty,” Macroeconomic Review, October.",,,
