Date,ETHA_Net_Flow_USD,ETHB_Net_Flow_USD,FETH_Net_Flow_USD,ETHW_Net_Flow_USD,TETH_Net_Flow_USD,ETHV_Net_Flow_USD,QETH_Net_Flow_USD,EZET_Net_Flow_USD,ETHE_Net_Flow_USD,ETH_Net_Flow_USD,Total_Net_Flow_USD,Source_URL
2024-11-15,0,,-18400000,0,0,-1100000,0,0,-40300000,0,-59800000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-11-18,-23900000,,3200000,0,0,0,0,0,-13300000,-5100000,-39100000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-11-19,-14200000,,-46700000,0,0,0,0,0,-20400000,0,-81300000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-11-20,16700000,,-30700000,0,0,0,0,0,-16300000,,-30300000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-11-21,0,,16800000,2900000,0,2500000,0,0,-27100000,-4099999.9999999995,-9000000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-11-22,99700000,,5800000,5000000,0,0,0,0,-18600000,-600000,91300000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-11-25,0,,4400000,8700000,-1200000,2600000,0,0,-7600000,-4000000,2900000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-11-26,50100000,,-1700000,0,-2800000,0,-1200000,0,-20100000,16300000,40600000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-11-27,0,,38000000,1600000,0,13200000,0,0,0,37300000,90100000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-11-29,250400000,,79100000,0,0,0,0,0,0,3400000,332900000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-12-02,55900000,,19900000,0,0,0,-7200000,0,-44400000,0,24200000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-12-03,65300000,,73700000,0,0,0,0,0,-6400000,0,132600000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-12-04,124400000,,40700000,0,0,0,0,0,-6200000,8800000,167700000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-12-05,292700000,,113600000,6600000,0,0,0,0,-15100000,30700000,428500000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-12-06,34600000,,47900000,13400000,-6900000,1500000,0,0,-29600000,22900000,83800000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-12-09,155400000,,30100000,-13000000,-4099999.9999999995,0,0,0,-27400000,8800000,149800000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-12-10,81700000,,202200000,0,0,0,0,0,-4000000,25800000,305700000,https://farside.co.uk/ethereum-etf-flow-all-data/
