Datetime_UTC,Open,High,Low,Close,Adj Close,Volume
2026-06-11 07:50:00+00:00,62639.859375,62649.30078125,62610.80078125,62621.01953125,62621.01953125,0
2026-06-11 07:55:00+00:00,62621.01953125,62658.69921875,62621.01953125,62639.859375,62639.859375,0
2026-06-11 08:00:00+00:00,62643.0,62713.0390625,62642.0,62665.69921875,62665.69921875,0
2026-06-11 08:05:00+00:00,62671.8203125,62749.75,62669.80859375,62724.62890625,62724.62890625,0
2026-06-11 08:10:00+00:00,62724.62890625,62803.12890625,62714.12109375,62753.98046875,62753.98046875,0
2026-06-11 08:15:00+00:00,62754.83984375,62773.1484375,62724.7109375,62748.62890625,62748.62890625,0
2026-06-11 08:20:00+00:00,62748.62890625,62849.0,62736.05078125,62844.1015625,62844.1015625,0
2026-06-11 08:25:00+00:00,62844.671875,62878.1484375,62815.69921875,62877.94921875,62877.94921875,0
2026-06-11 08:30:00+00:00,62882.9609375,62882.9609375,62854.62109375,62875.33984375,62875.33984375,0
2026-06-11 08:35:00+00:00,62868.53125,62899.9609375,62853.37890625,62897.0,62897.0,0
2026-06-11 08:40:00+00:00,62885.62890625,62886.5,62774.28125,62782.69921875,62782.69921875,0
2026-06-11 08:45:00+00:00,62782.69921875,62950.73046875,62778.03125,62881.640625,62881.640625,0
2026-06-11 08:50:00+00:00,62891.1796875,62924.62890625,62853.37890625,62873.71875,62873.71875,0
2026-06-11 08:55:00+00:00,62873.7109375,62887.921875,62828.26953125,62871.828125,62871.828125,0
2026-06-11 09:00:00+00:00,62886.3984375,62886.3984375,62838.0,62840.8203125,62840.8203125,0
2026-06-11 09:05:00+00:00,62836.0,62853.44140625,62772.55078125,62781.1484375,62781.1484375,0
2026-06-11 09:10:00+00:00,62784.2890625,62809.421875,62742.87109375,62796.80078125,62796.80078125,0
2026-06-11 09:15:00+00:00,62778.01953125,62796.0,62715.2890625,62775.73828125,62775.73828125,0
2026-06-11 09:20:00+00:00,62759.19140625,62760.01953125,62716.78125,62738.76953125,62738.76953125,0
2026-06-11 09:25:00+00:00,62724.5,62757.5703125,62724.48828125,62748.640625,62748.640625,0
2026-06-11 09:30:00+00:00,62746.30859375,62865.9296875,62743.5,62861.98046875,62861.98046875,0
2026-06-11 09:35:00+00:00,62877.98828125,62885.98828125,62839.421875,62858.0,62858.0,0
2026-06-11 09:40:00+00:00,62838.80078125,62852.69921875,62815.69921875,62852.69921875,62852.69921875,0
2026-06-11 09:45:00+00:00,62837.69140625,62858.33984375,62831.05859375,62856.51171875,62856.51171875,0
2026-06-11 09:50:00+00:00,62847.1015625,62909.8984375,62844.98828125,62895.23828125,62895.23828125,0
2026-06-11 09:55:00+00:00,62890.1484375,62906.69140625,62821.98046875,62847.1015625,62847.1015625,0
2026-06-11 10:00:00+00:00,62849.98828125,62881.55078125,62778.01953125,62780.16015625,62780.16015625,0
2026-06-11 10:05:00+00:00,62787.4296875,62894.19140625,62778.03125,62856.51953125,62856.51953125,0
2026-06-11 10:10:00+00:00,62850.921875,62873.46875,62821.98046875,62834.91015625,62834.91015625,0
2026-06-11 10:15:00+00:00,62829.26953125,62850.0,62724.87109375,62749.75,62749.75,0
2026-06-11 10:20:00+00:00,62752.890625,62784.37890625,62741.2890625,62743.03125,62743.03125,0
2026-06-11 10:25:00+00:00,62756.0390625,62796.8515625,62741.98828125,62771.75,62771.75,0
2026-06-11 10:30:00+00:00,62776.0,62845.140625,62768.6015625,62812.55859375,62812.55859375,0
2026-06-11 10:35:00+00:00,62812.55859375,62880.05859375,62798.26953125,62837.671875,62837.671875,0
2026-06-11 10:40:00+00:00,62830.7890625,62874.37890625,62824.0,62851.640625,62851.640625,0
2026-06-11 10:45:00+00:00,62854.01953125,62898.359375,62850.23828125,62896.19921875,62896.19921875,0
2026-06-11 10:50:00+00:00,62890.01171875,63025.71875,62890.0,63025.71875,63025.71875,0
2026-06-11 10:55:00+00:00,63018.01171875,63119.48046875,62985.26953125,63070.73828125,63070.73828125,0
2026-06-11 11:00:00+00:00,63072.3203125,63134.01171875,62994.6796875,63112.37890625,63112.37890625,0
2026-06-11 11:05:00+00:00,63117.12890625,63118.96875,62986.37109375,63079.8984375,63079.8984375,0
2026-06-11 11:10:00+00:00,63098.23828125,63132.6015625,63076.3203125,63120.6796875,63120.6796875,0
2026-06-11 11:15:00+00:00,63120.6796875,63154.01953125,63038.03125,63038.03125,63038.03125,0
2026-06-11 11:20:00+00:00,63055.12109375,63103.578125,63036.69140625,63092.33984375,63092.33984375,0
2026-06-11 11:25:00+00:00,63099.94921875,63123.73046875,63037.73828125,63097.9609375,63097.9609375,0
2026-06-11 11:30:00+00:00,63098.44140625,63190.3984375,63093.41015625,63132.0,63132.0,0
2026-06-11 11:35:00+00:00,63129.94921875,63137.0,63014.37890625,63080.26953125,63080.26953125,0
2026-06-11 11:40:00+00:00,63076.3203125,63092.01171875,63051.19921875,63072.828125,63072.828125,0
2026-06-11 11:45:00+00:00,63061.6796875,63073.1796875,63021.98046875,63073.1796875,63073.1796875,0
2026-06-11 11:50:00+00:00,63066.91015625,63161.44140625,63063.76171875,63117.12890625,63117.12890625,0
2026-06-11 11:55:00+00:00,63116.96875,63116.96875,63038.01171875,63043.98046875,63043.98046875,0
2026-06-11 12:00:00+00:00,63053.80859375,63053.80859375,62944.44140625,62994.6796875,62994.6796875,0
2026-06-11 12:05:00+00:00,63013.51953125,63048.05078125,62941.30859375,62957.0,62957.0,0
2026-06-11 12:10:00+00:00,62947.6015625,63126.55078125,62947.6015625,63088.0703125,63088.0703125,0
2026-06-11 12:15:00+00:00,63098.328125,63112.3515625,63039.03125,63039.0390625,63039.0390625,0
2026-06-11 12:20:00+00:00,63035.51171875,63035.51171875,62612.609375,62646.140625,62646.140625,0
2026-06-11 12:25:00+00:00,62658.921875,62725.66015625,62605.6015625,62616.0,62616.0,0
2026-06-11 12:30:00+00:00,62670.3984375,62725.98828125,62462.12109375,62725.98828125,62725.98828125,0
