Date,IBIT_Net_Flow_USD,FBTC_Net_Flow_USD,BITB_Net_Flow_USD,ARKB_Net_Flow_USD,BTCO_Net_Flow_USD,EZBC_Net_Flow_USD,BRRR_Net_Flow_USD,HODL_Net_Flow_USD,BTCW_Net_Flow_USD,MSBT_Net_Flow_USD,GBTC_Net_Flow_USD,BTC_Net_Flow_USD,Total_Net_Flow_USD,Source_URL
2025-09-29,-46600000,298700000,47200000,62200000,35300000,16500000,0,30700000,0,,26900000,47100000,518000000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-09-30,199400000,54700000,70100000,105700000,0,0,0,0,0,,0,0,429900000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-10-01,405500000,179300000,59400000,5900000,0,0,0,6600000,0,,9200000,9900000,675800000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-10-02,466500000,89600000,11200000,45200000,0,0,0,1700000,0,,2800000,10200000,627200000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-10-03,791600000,69600000,24000000,35500000,0,0,0,26000000,0,,18300000,20100000,985100000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-10-06,970000000,112300000,60100000,0,7500000,3600000,0,15100000,6000000,,0,30600000,1205200000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-10-07,899400000,0,0,0,0,0,4800000,0,0,,-28600000,0,875600000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-10-08,426200000,0,13400000,0,0,0,0,0,0,,0,1100000,440700000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-10-09,255500000,-13200000,6600000,-5600000,0,0,0,0,0,,-45500000,0,197800000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-10-10,74200000,-10200000,-37400000,-6200000,0,0,0,0,0,,-19200000,-5700000,-4500000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-10-13,60400000,-93300000,-115600000,-21100000,0,0,0,-11400000,0,,-145400000,0,-326400000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-10-14,-30800000,132699999.99999999,8000000,6800000,0,0,-14000000,0,0,,0,0,102700000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-10-15,-10100000,0,0,0,-11100000,0,0,0,0,,-82900000,0,-104100000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-10-16,-29500000,-132000000,-20600000,-275200000,0,0,0,-6100000,0,,-45000000,-22500000,-530900000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-10-17,-268600000,-67400000,0,0,0,0,-5600000,0,0,,-25000000,0,-366600000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-10-20,-100700000,9700000,12100000,0,9900000,0,0,21200000,0,,0,7400000,-40400000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-10-21,210900000,34100000,20100000,162900000,8900000,6500000,2500000,17400000,0,,0,13900000,477200000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-10-22,73600000,-56600000,-10000000,-53900000,0,0,2100000,0,0,,-56600000,0,-101400000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-10-23,107800000,7200000,17400000,-55000000,0,0,0,0,0,,-60500000,3400000,20300000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-10-24,32700000.000000004,57900000,0,0,0,0,0,0,0,,0,0,90600000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-10-27,65300000,0,0,76400000,0,0,0,0,0,,0,7600000,149300000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-10-28,59600000,67000000,0,75800000,0,0,0,0,0,,0,0,202400000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-10-29,-88100000,-164400000,-6000000,-143800000,0,0,0,0,0,,-65000000,-3400000,-470700000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-10-30,-290900000,-46500000,-55100000,-65599999.99999999,-8000000,0,0,-3800000,0,,-10000000,-8500000,-488400000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-10-31,-149300000,-12000000,-17900000,-19300000,0,0,0,0,0,,6900000,0,-191600000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-11-03,-186500000,0,0,0,0,0,0,0,0,,0,0,-186500000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-11-04,0,-356600000,-7100000,-128100000,0,-8700000,0,-17000000,0,,-48900000,0,-566400000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-11-05,-375500000,113300000,17000000,82900000,0,0,0,3700000,0,,0,21600000,-137000000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-11-06,112400000,61600000,5500000,60400000,0,0,0,0,0,,0,0,239900000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-11-07,-131400000,-256700000,-10700000,-144200000,0,0,0,0,0,,-15400000,0,-558400000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-11-10,0,0,1200000,0,0,0,0,0,0,,0,0,1200000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-11-11,224200000,165900000,7300000,102500000,0,0,0,0,0,,0,24100000,524000000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-11-12,-36900000,-132900000,0,-85200000,0,0,0,0,0,,-23100000,0,-278100000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-11-13,-256600000.00000003,-119900000,-47000000,-15700000,-30800000,-5700000,0,-8300000.000000001,0,,-64500000,-318200000,-866700000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-11-14,-463100000,-2100000,0,0,0,0,0,0,-6000000,,-25100000,4200000,-492100000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-11-17,-145600000,-12000000,-9500000,-29700000,0,0,0,-23300000,0,,-34500000,0,-254600000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-11-18,-523200000.00000006,0,0,0,0,10800000,0,0,0,,0,139600000,-372800000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-11-19,60600000,-21400000,0,0,0,0,0,-17600000,0,,0,53800000,75400000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-11-20,-355500000,-190400000,-21200000,-94400000,0,-7500000,0,-30600000,0,,-199400000,-4200000,-903200000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-11-21,-122000000,108000000,22800000,39100000,35800000,0,0,8300000.000000001,0,,61500000,84900000,238400000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-11-24,-149100000,15500000,-5800000,-11600000,0,0,0,0,0,,0,0,-151000000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-11-25,83000000,170800000,-12300000,-75900000,0,0,0,-36900000,0,,0,0,128699999.99999999,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-11-26,42800000,-33299999.999999996,0,6000000,0,0,0,0,0,,5600000,0,21100000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-11-28,-113700000,77500000,0,88000000,0,0,0,0,0,,10700000,8900000,71400000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-12-01,-65900000.00000001,67000000,0,7400000,0,0,0,0,0,,0,0,8500000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-12-02,120100000,21900000,7400000,-90900000,0,0,0,0,0,,0,0,58500000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-12-03,42200000,0,0,-37100000,0,0,0,0,0,,-19600000,-400000,-14900000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-12-04,-113000000,-54200000,-3000000,0,0,0,0,-14300000,0,,-10100000,0,-194600000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-12-05,-32500000,27300000,4900000,42800000,0,0,0,11400000,900000,,0,0,54800000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-12-08,28800000,-39400000,0,0,0,0,0,-5800000,0,,-44000000,0,-60400000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-12-09,-135400000,198900000,16200000,5300000,6500000,8100000,0,0,1000000,,17500000,33800000,151900000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-12-10,192900000,30600000,0,0,0,0,0,0,0,,0,0,223500000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-12-11,76700000,-103600000,8400000,-16399999.999999998,0,0,0,-19400000,0,,-12200000,-11000000,-77500000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-12-12,51100000,-2000000,0,0,0,0,0,0,0,,0,0,49100000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-12-15,0,-230100000,-44300000,-34500000,0,0,0,-21200000,0,,-27500000,0,-357600000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-12-16,-210700000,26700000,-50900000,-16900000,0,0,0,-18000000,0,,0,-7400000,-277200000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-12-17,111200000,391500000,-8400000,-37000000,0,0,0,0,0,,0,0,457300000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-12-18,32799999.999999996,-170300000,-11500000,-12300000,0,0,0,0,0,,0,0,-161300000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-12-19,-173600000,15300000,0,0,0,0,0,0,0,,0,0,-158300000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-12-22,6000000,-3800000,-35000000,-21400000,0,0,0,-33600000,0,,-29000000,-25400000,-142200000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-12-23,-157300000,-15300000,-5700000,0,0,0,0,0,0,,-10300000,0,-188600000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-12-24,-91400000,-17200000,-13300000,-9900000,0,-5100000,0,-8000000,0,,-24600000,-5800000,-175300000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-12-26,-192600000,-74400000,0,0,0,0,0,0,0,,-8900000,0,-275900000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-12-29,-7900000,5700000,0,-6700000,-10400000,0,0,0,0,,0,0,-19300000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-12-30,143700000,78600000,13900000,109600000,0,0,0,5000000,0,,0,4300000,355100000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2025-12-31,-99000000,-66599999.99999999,-13800000,-76500000,0,-5100000,0,-6800000,0,,-69100000,-11200000,-348100000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-01-02,287400000,88100000,41500000,6700000,4500000,13000000,0,8300000.000000001,0,,15400000,6400000,471300000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-01-05,372500000,191200000,38500000,36000000,15000000,13600000,7200000,5300000,0,,0,17900000,697200000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-01-06,228700000,-312200000,0,-29500000,0,0,0,-14400000,0,,-83100000,-32700000.000000004,-243200000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-01-07,-130000000,-247600000,-39000000,-42300000,0,0,0,-11600000,0,,-15600000,0,-486100000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-01-08,-193300000,-120500000,3000000,-9600000,0,0,0,0,1900000,,-73100000,-7200000,-398800000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-01-09,-252000000,7900000,-5900000,0,0,0,0,0,0,,0,0,-250000000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-01-12,-70700000,111700000,0,0,0,0,0,6500000,0,,64300000,4900000,116700000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-01-13,126300000,351400000,159400000,84900000,0,0,0,10000000,3000000,,0,18800000,753800000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-01-14,648400000,125400000,10600000,27000000,0,5600000,0,8300000.000000001,0,,15300000,0,840600000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-01-15,315800000,-188900000,0,0,0,0,3000000,0,0,,-36400000,6700000,100200000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-01-16,15100000,-205200000,-90400000,-69400000,0,0,0,0,0,,-44800000,0,-394700000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-01-20,-56900000,-152100000,-40400000,-46400000,0,-10400000,0,-12700000,0,,-160800000,0,-479700000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-01-21,-356600000,-287700000,-25900000,-29800000,0,0,-3800000,6400000,0,,-11300000,0,-708700000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-01-22,-22400000,-9800000,0,0,0,0,0,0,0,,0,0,-32200000.000000004,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-01-23,-101600000,-1900000,0,0,0,0,0,0,0,,0,0,-103500000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-01-26,15900000,-5700000,-11000000,-2900000,0,0,0,0,2800000,,0,7700000,6800000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-01-27,-102800000,-44600000,0,0,0,0,0,0,0,,0,0,-147400000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-01-28,-14200000,19500000,-12600000,-12300000,0,0,0,0,0,,0,0,-19600000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-01-29,-317800000,-168000000,-88900000,-71600000,-8400000,0,0,-6500000,0,,-119400000,-37200000,-817800000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-01-30,-528299999.99999994,7300000,0,8300000.000000001,0,0,0,3000000,0,,0,0,-509700000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-02-02,142000000,153300000,96500000,65099999.99999999,10100000,0,0,24300000,3300000,,0,67200000,561800000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-02-03,60000000,-148700000,-23400000,-62500000,0,-2200000,0,-4800000,0,,-56600000,-33800000,-272000000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-02-04,-373400000,-86400000,0,-31700000,0,-6400000,0,-5200000,0,,-41800000,0,-544900000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-02-05,-175300000,-109500000,-15600000,-23100000,0,0,0,0,0,,-75400000,-35200000,-434100000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-02-06,231600000,24500000,28700000,43300000,7000000,0,0,15900000,0,,0,20100000,371100000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-02-09,-20900000,3100000,0,14100000,0,6100000,0,12000000,0,,0,130500000,144900000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-02-10,26500000,56900000,0,68500000,0,0,4900000,0,3600000,,0,6100000,166500000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-02-11,-73400000,-92600000,-22000000,-70500000,0,0,0,-6700000,6800000,,-17900000,0,-276300000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-02-12,-157600000,-104100000,-7800000,-31500000,-6800000,-3800000,-2800000,-3200000,0,,-59100000,-33500000,-410200000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-02-13,-9400000,12000000,0,0,0,0,0,1900000,3600000,,0,7000000,15100000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-02-17,-119700000,5900000,-10300000,-8300000.000000001,0,0,0,0,0,,-8500000,36000000,-104900000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-02-18,-84200000,-49100000,0,0,0,0,0,0,0,,0,0,-133300000.00000001,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-02-19,-164100000,0,0,0,0,0,-1700000,0,0,,0,0,-165800000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-02-20,64500000,23600000,0,0,0,0,0,0,0,,0,0,88100000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-02-23,-116400000,-27900000,-43600000,-9200000,0,0,0,6400000,0,,-13100000,0,-203800000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-02-24,78900000,82800000,3500000,71100000,0,0,0,12800000,0,,0,8600000,257700000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-02-25,297400000,30100000,39400000,2300000,0,0,0,15600000,0,,102500000,19300000,506600000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-02-26,275800000,-51500000,69000000,-44900000,0,0,0,0,0,,0,6000000,254400000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-02-27,-32700000.000000004,0,0,0,3300000,1900000,0,0,0,,0,0,-27500000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-03-02,263200000,94800000,36400000,5700000,6200000,14000000,0,19500000,0,,0,18400000,458200000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-03-03,322400000,-89300000,0,0,0,0,11600000,0,8700000,,-28200000,0,225200000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-03-04,306600000,48000000,8000000,14600000,9100000,8500000,0,5200000,7800000,,21700000,32400000,461900000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-03-05,-88700000,-48000000,-46400000,-22700000,0,0,5400000,-8600000,0,,-18900000,0,-227900000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-03-06,-143500000,-158500000,-22200000,-4500000,0,0,0,-5800000,0,,-9600000,-4800000,-348900000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-03-09,109300000,60100000,-4500000,-2700000,0,0,0,4900000,0,,0,0,167100000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-03-10,185800000,33500000,16399999.999999998,4099999.9999999995,0,0,-4099999.9999999995,5900000,0,,0,5300000,246900000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-03-11,115300000,15400000,0,0,0,0,0,-4500000,0,,-16000000,5000000,115200000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-03-12,46100000,15300000,-5700000,3000000,0,0,0,0,0,,-9900000,5000000,53800000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-03-13,143600000,23200000,3100000,2400000,0,0,0,8100000,0,,0,0,180400000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-03-16,139400000,64500000,2800000,-3100000,0,2100000,0,-6300000,0,,0,0,199400000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-03-17,169300000,24400000,0,2500000,0,0,0,3200000,0,,0,0,199400000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-03-18,-33900000,-103800000,-7000000,0,0,0,0,0,0,,-18800000,0,-163500000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-03-19,-38300000,-26000000,-17200000,-15200000,0,4099999.9999999995,3200000,0,0,,-5500000,4700000,-90200000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-03-20,-45900000,-9100000,0,0,0,0,0,3000000,0,,0,0,-52000000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-03-23,160800000,41700000,0,-9400000,0,0,0,0,0,,-25900000,0,167200000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-03-24,-4700000,-45300000,-16600000.000000002,0,0,0,0,-7900000,0,,0,0,-74500000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-03-25,-70700000,83300000,0,-4800000,0,0,0,0,0,,0,0,7800000,https://farside.co.uk/bitcoin-etf-flow-all-data/
